P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
1742,1666,1073,67,2,475,0,49,76,42,101,034400,3
1730,1669,1409,35,1,194,0,30,61,42,101,034400,4
1625,1533,980,249,3,220,0,81,92,42,101,034501,1
1521,1418,847,230,3,262,0,76,103,42,101,034501,2
1074,1021,678,176,1,148,0,18,53,42,101,034502,1
2142,1982,1233,329,6,318,0,96,160,42,101,034502,2
1433,1329,718,366,5,182,0,58,104,42,101,034502,3
1096,1011,298,354,4,250,2,103,85,42,101,034600,1
1274,1221,762,278,5,115,1,60,53,42,101,034600,2
771,707,460,70,4,116,0,57,64,42,101,034701,1
1284,1217,628,45,18,304,0,222,67,42,101,004103,1
1798,1701,345,126,21,881,0,328,97,42,101,004103,2
1093,1048,602,37,4,290,0,115,45,42,101,004104,1
2294,2176,740,186,18,875,1,356,118,42,101,004104,2
577,547,511,9,0,16,0,11,30,42,101,004201,1
1711,1649,1248,75,0,243,0,83,62,42,101,004201,2
672,639,625,2,0,6,0,6,33,42,101,004201,3
1402,1348,1024,78,3,154,0,89,54,42,101,004201,4
1192,1155,908,58,2,158,0,29,37,42,101,004202,1
1165,1118,595,113,6,323,2,79,47,42,101,004202,2
1105,1079,798,38,6,202,0,35,26,42,101,004202,3
703,673,547,16,1,87,0,22,30,42,101,004202,4
1002,963,138,745,5,63,1,11,39,42,101,005400,1
1486,1447,141,1222,1,54,0,29,39,42,101,005500,1
686,657,21,613,3,0,0,20,29,42,101,007000,1
2100,2021,1935,7,1,54,0,24,79,42,101,003902,2
1538,1470,1290,62,6,81,0,31,68,42,101,003901,3
1356,1279,618,194,1,396,0,70,77,42,101,003901,4
1218,1157,1045,38,2,49,1,22,61,42,101,003902,1
1462,1424,1355,6,3,55,0,5,38,42,101,003902,3
1135,1088,865,20,9,126,0,68,47,42,101,004001,1
1105,1070,854,36,14,120,1,45,35,42,101,004001,2
803,768,588,35,3,121,0,21,35,42,101,004001,3
833,794,667,14,1,93,1,18,39,42,101,004001,4
1174,1111,872,18,2,127,1,91,63,42,101,004002,1
1298,1256,951,18,0,223,0,64,42,42,101,004002,2
1047,999,884,8,1,80,5,21,48,42,101,004002,3
910,881,808,5,3,51,0,14,29,42,101,004002,4
615,588,269,23,11,182,1,102,27,42,101,004101,1
690,654,195,57,7,232,0,163,36,42,101,004101,2
2536,2363,843,437,37,555,0,491,173,42,101,004101,3
879,833,154,86,11,511,0,71,46,42,101,004101,4
750,709,191,170,10,226,1,111,41,42,101,004101,5
686,611,245,173,21,7,0,165,75,42,101,018801,2
746,666,254,233,6,10,0,163,80,42,101,018801,1
619,565,181,161,10,18,0,195,54,42,101,018801,3
1140,1017,283,278,6,33,0,417,123,42,101,018801,4
978,887,278,299,12,7,0,291,91,42,101,018802,1
681,617,153,228,3,22,0,211,64,42,101,018802,2
831,737,173,238,15,11,0,300,94,42,101,018802,3
1223,1090,233,220,8,45,1,583,133,42,101,019000,1
1021,915,145,207,7,67,3,486,106,42,101,019000,2
1099,940,142,206,4,82,1,505,159,42,101,019000,3
961,807,210,167,12,94,1,323,154,42,101,019000,4
1146,1041,262,265,7,42,0,465,105,42,101,019000,5
1246,1087,278,164,11,146,0,488,159,42,101,019100,1
655,524,167,49,7,81,0,220,131,42,101,019100,2
1301,1145,273,87,8,290,0,487,156,42,101,019100,3
1265,1122,228,200,10,116,0,568,143,42,101,019100,4
1640,1480,331,241,8,133,4,763,160,42,101,019100,5
1020,932,206,183,4,89,0,450,88,42,101,019200,1
901,773,198,222,8,22,0,323,128,42,101,019200,2
922,803,161,196,7,14,0,425,119,42,101,019200,3
1199,1068,241,335,19,56,0,417,131,42,101,019200,4
1260,1095,217,204,15,39,0,620,165,42,101,019200,5
1302,1081,186,130,21,9,1,734,221,42,101,019501,1
1185,989,193,146,8,10,0,632,196,42,101,019501,2
949,806,127,131,19,4,2,523,143,42,101,019501,3
752,570,99,93,10,2,0,366,182,42,101,019502,1
1117,916,174,141,11,16,0,574,201,42,101,019502,2
625,479,85,109,5,8,0,272,146,42,101,019502,3
967,832,105,222,8,10,1,486,135,42,101,019700,1
792,676,75,223,11,10,3,354,116,42,101,019700,2
630,548,54,195,6,16,0,277,82,42,101,019700,3
750,648,105,208,5,6,0,324,102,42,101,019700,4
605,516,22,231,3,7,2,251,89,42,101,019700,5
884,773,111,292,7,23,2,338,111,42,101,019700,6
575,473,89,84,11,16,0,273,102,42,101,017702,1
899,792,159,213,13,31,0,376,107,42,101,017701,1
713,632,108,255,9,23,2,235,81,42,101,017701,2
831,754,119,218,1,35,0,381,77,42,101,017701,3
778,690,156,127,19,26,2,360,88,42,101,017702,2
595,535,72,161,5,20,0,277,60,42,101,017702,3
684,616,106,139,17,9,0,345,68,42,101,017702,4
634,533,103,103,6,7,0,314,101,42,101,017702,5
874,778,220,210,9,37,0,302,96,42,101,017800,1
1016,899,213,297,8,48,2,331,117,42,101,017800,2
